tech	human-machine interactions	1, 10, 11
other	natural language environment	1, 14, 15, 16
other	speaker	2, 3
other	listener	2, 5
other	listener	2, 37
other	speaker's utterance	2, 40, 41
other	speaker	3, 11
other	listener	3, 13
other	reference failures	3, 16, 17
other	speaker's intention	3, 23, 24
other	miscommunication	4, 5
other	communication	5, 11
other	miscommunications	6, 9
other	miscommunication	7, 8
other	reference problems	7, 10, 11
other	failures of reference	7, 22, 23, 24
other	speaker	8, 15
other	utterance	8, 20
other	extensional reference	9, 9, 10
