tech	text-understanding systems	1, 3, 4
other	input text	1, 13, 14
other	newspaper stories	1, 26, 27
other	natural language texts	2, 7, 8, 9
other	conversation transcripts	2, 19, 20
other	texts	2, 30
None	words	2, 41
other	words	2, 44
other	syntactic construction	2, 47, 48
other	expectations	3, 11
other	world knowledge	3, 22, 23
other	syntactic and semantic expectations	4, 2, 3, 4, 5
other	context	4, 15
other	word-senses	4, 20
other	words	4, 22
other	meanings	4, 25
other	ambiguity	4, 27
other	ellipsis	4, 35
other	referents	4, 40
other	anaphora	4, 42
other	texts	5, 12
tool	NOMAD	5, 22
other	texts	5, 27
other	domain	5, 30
